Agency,variable,value,binary
Department of Labor,Defaults to HTTPS,18,Yes
Department of Labor,Downgrades HTTPS,18,Yes
Department of Labor,HSTS,20,Yes
Department of Labor,HSTS All Subdomains,20,Yes
Department of Labor,HSTS Preload Ready,20,Yes
Department of Labor,HTTPS Bad Chain,12,Yes
Department of Labor,HTTPS Bad Hostname,20,Yes
Department of Labor,Live,6,Yes
Department of Labor,Redirect,17,Yes
Department of Labor,Strictly Forces HTTPS,19,Yes
Department of Labor,Valid HTTPS,16,Yes
Department of State,Broken Root,21,Yes
Department of State,Broken WWW,22,Yes
Department of State,Defaults to HTTPS,18,Yes
Department of State,Downgrades HTTPS,22,Yes
Department of State,HSTS,22,Yes
Department of State,HSTS All Subdomains,22,Yes
Department of State,HSTS Preload Ready,22,Yes
Department of State,HTTPS Bad Chain,11,Yes
Department of State,HTTPS Bad Hostname,22,Yes
Department of State,Live,0,Yes
Department of State,Redirect,22,Yes
Department of State,Strictly Forces HTTPS,20,Yes
Department of State,Valid HTTPS,17,Yes
Department of Transportation,Broken Root,18,Yes
Department of Transportation,Broken WWW,32,Yes
Department of Transportation,Defaults to HTTPS,30,Yes
Department of Transportation,Downgrades HTTPS,27,Yes
Department of Transportation,HSTS,33,Yes
Department of Transportation,HSTS All Subdomains,33,Yes
Department of Transportation,HSTS Preload Ready,33,Yes
Department of Transportation,HTTPS Bad Chain,17,Yes
Department of Transportation,HTTPS Bad Hostname,33,Yes
Department of Transportation,Live,0,Yes
Department of Transportation,Redirect,28,Yes
Department of Transportation,Strictly Forces HTTPS,30,Yes
Department of Transportation,Valid HTTPS,25,Yes
Department of Veterans Affairs,Broken Root,6,Yes
Department of Veterans Affairs,Broken WWW,9,Yes
Department of Veterans Affairs,Defaults to HTTPS,8,Yes
Department of Veterans Affairs,Downgrades HTTPS,9,Yes
Department of Veterans Affairs,HSTS,9,Yes
Department of Veterans Affairs,HSTS All Subdomains,9,Yes
Department of Veterans Affairs,HSTS Preload Ready,9,Yes
Department of Veterans Affairs,HTTPS Bad Chain,7,Yes
Department of Veterans Affairs,HTTPS Bad Hostname,9,Yes
