Domain,Grade,Signature Algorithm,Key Type,Key Size,Forward Secrecy,OCSP Stapling,Fallback SCSV,RC4,SSLv3,TLSv1.2,SPDY,Requires SNI,HTTP/2
iawg.gov,C,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
ic3.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
icass.gov,B,SHA256withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
ice.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
ice.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
identitytheft.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
identitytheft.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
idmanagement.gov,F,SHA256withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
idtheft.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
idtheft.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
ignet.gov,B,SHA1withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
ihs.gov,B,SHA256withRSA,RSA,2048,2,False,False,True,False,True,False,True,False
inl.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
integrity.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
intelink.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
investor.gov,A,SHA1withRSA,RSA,4096,2,False,True,False,False,True,False,False,False
ioss.gov,T,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
ipac.gov,C,SHA256withRSA,RSA,2048,0,False,True,False,True,True,False,False,False
ipcc-wg2.gov,C,SHA256withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
ipp.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
iprcenter.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
iprcenter.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
iprcenter.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
iprcenter.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
iprcenter.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
ise.gov,A,SHA256withRSA,RSA,4096,2,False,True,False,False,True,False,False,False
