Domain,Participates in Analytics
protecciondelconsumidor.gov,True
protectyourmove.gov,False
psa.gov,False
psc.gov,False
pscr.gov,True
psob.gov,True
ptf.gov,False
ptt.gov,False
pubmed.gov,False
pubmedcentral.gov,False
purchasing.gov,False
qatesttwai.gov,False
quic.gov,False
quick.gov,False
ratb.gov,False
rcfl.gov,False
reachhigher.gov,False
read.gov,False
ready.gov,True
readybusiness.gov,False
reaganlibrary.gov,True
realestatesales.gov,True
realpropertyprofile.gov,True
recalls.gov,True
recordsmanagement.gov,False
recovery.gov,False
recoverymonth.gov,False
recreation.gov,False
reentry.gov,False
reginfo.gov,True
regulation.gov,False
regulations.gov,False
relocatefeds.gov,True
reo.gov,False
reportband.gov,False
republicans.gov,False
research.gov,False
restorethegulf.gov,False
rivers.gov,False
rl.gov,False
rocis.gov,True
rrb.gov,True
sac.gov,False
safecom.gov,False
safecomprogram.gov,False
safercar.gov,True
saferproduct.gov,False
saferproducts.gov,True
safertruck.gov,True
safetyact.gov,False
safetyvideos.gov,False
safexchange.gov,False
safeyouth.gov,False
salmonrecovery.gov,False
sam.gov,True
samhsa.gov,False
sandbox.gov,False
sandia.gov,False
save.gov,False
saveaward.gov,False
savingsbond.gov,True
savingsbonds.gov,True
savingsbondwizard.gov,True
sba.gov,True
sbir.gov,False
sbst.gov,True
sc-us.gov,False
scidac.gov,False
science.gov,False
science360.gov,False
scienceaccelerator.gov,False
sciencebase.gov,True
scienceeducation.gov,False
scijinks.gov,False
scinet-test.gov,False
scinet.gov,False
scra.gov,False
scus.gov,False
sdr.gov,True
sec.gov,False
secretservice.gov,False
section108.gov,False
section508.gov,True
seguridadconsumidor.gov,False
segurosocial.gov,False
selectagents.gov,False
selectusa.gov,False
senate.gov,False
senatecalendar.gov,False
senaterestaurants.gov,False
seniorcorps.gov,False
seniors.gov,False
sentinel.gov,False
serve.gov,False
serveindiana.gov,False
service.gov,False
servicelearning.gov,False
servicemembers.gov,False
servir.gov,False
sftool.gov,True
sharetheroadsafely.gov,True
sierrawild.gov,False
sigtarp.gov,True
siteidiq.gov,False
sji.gov,False
slgs.gov,True
smallbusiness.gov,False
smart.gov,True
smartcheck.gov,False
smartgrid.gov,False
smokefree.gov,True
smokeybear.gov,False
snap.gov,False
sns.gov,False
socialsecurity.gov,True
socialsecurityadvisoryboard.gov,False
solardecathlon.gov,False
spaceweather.gov,False
speaker.gov,False
spectrum.gov,False
srs.gov,False
ssa.gov,True
ssab.gov,False
sss.gov,False
standards.gov,False
start2farm.gov,True
state.gov,True
stennis.gov,False
steroidabuse.gov,False
stopalcoholabuse.gov,False
stopbullying.gov,True
stopfakes.gov,False
stopfraud.gov,True
stopmedicarefraud.gov,True
strategicsourcing.gov,False
strongmiddleclass.gov,False
strongports.gov,False
studentaid.gov,False
studentloans.gov,False
supportthevoter.gov,True
supreme-court.gov,False
supremecourt.gov,False
supremecourtus.gov,False
surgeongeneral.gov,True
sustainability.gov,False
sustainablecommunities.gov,False
swpa.gov,False
symbols.gov,False
taaps.gov,True
tax.gov,False
taxreform.gov,False
tcis.gov,False
tda.gov,False
teachingprimarysources.gov,False
teachingwithprimarysources.gov,False
